"id","name","sku","coordinates"
7,"JOINT, QUEUE DE SOUPAPE","3P6-12129-00","{""top"":416.034,""left"":-81.5443}"
7,"JOINT, QUEUE DE SOUPAPE","3P6-12129-00","{""top"":313.515,""left"":-235.184}"
7,"JOINT, QUEUE DE SOUPAPE","3P6-12129-00","{""top"":584.599,""left"":-346.475}"
7,"JOINT, QUEUE DE SOUPAPE","3P6-12129-00","{""top"":494.895,""left"":-519.812}"
8,"PASTILLE, REGLAGE (1.20)","3LD-12168-00","{""top"":239.583,""left"":-81.5443}"
8,"PASTILLE, REGLAGE (1.20)","3LD-12168-00","{""top"":136.078,""left"":-235.184}"
8,"PASTILLE, REGLAGE (1.20)","3LD-12168-00","{""top"":441.664,""left"":-446.932}"
8,"PASTILLE, REGLAGE (1.20)","3LD-12168-00","{""top"":345.059,""left"":-611.405}"
8,"PASTILLE, REGLAGE (1.25)","3LD-12168-20","{""top"":239.583,""left"":-81.5443}"
8,"PASTILLE, REGLAGE (1.25)","3LD-12168-20","{""top"":136.078,""left"":-235.184}"
8,"PASTILLE, REGLAGE (1.25)","3LD-12168-20","{""top"":441.664,""left"":-446.932}"
8,"PASTILLE, REGLAGE (1.25)","3LD-12168-20","{""top"":345.059,""left"":-611.405}"
8,"PASTILLE, REGLAGE (1.30)","3LD-12168-40","{""top"":239.583,""left"":-81.5443}"
8,"PASTILLE, REGLAGE (1.30)","3LD-12168-40","{""top"":136.078,""left"":-235.184}"
8,"PASTILLE, REGLAGE (1.30)","3LD-12168-40","{""top"":441.664,""left"":-446.932}"
8,"PASTILLE, REGLAGE (1.30)","3LD-12168-40","{""top"":345.059,""left"":-611.405}"
8,"PASTILLE, REGLAGE","3LD-1216860-00","{""top"":239.583,""left"":-81.5443}"
8,"PASTILLE, REGLAGE","3LD-1216860-00","{""top"":136.078,""left"":-235.184}"
8,"PASTILLE, REGLAGE","3LD-1216860-00","{""top"":441.664,""left"":-446.932}"
8,"PASTILLE, REGLAGE","3LD-1216860-00","{""top"":345.059,""left"":-611.405}"
8,"PASTILLE, REGLAGE (1.40)","3LD-12168-80","{""top"":239.583,""left"":-81.5443}"
8,"PASTILLE, REGLAGE (1.40)","3LD-12168-80","{""top"":136.078,""left"":-235.184}"
8,"PASTILLE, REGLAGE (1.40)","3LD-12168-80","{""top"":441.664,""left"":-446.932}"
8,"PASTILLE, REGLAGE (1.40)","3LD-12168-80","{""top"":345.059,""left"":-611.405}"
8,"PASTILLE, REGLAGE (1.45)","3LD-12168-A0","{""top"":239.583,""left"":-81.5443}"
8,"PASTILLE, REGLAGE (1.45)","3LD-12168-A0","{""top"":136.078,""left"":-235.184}"
8,"PASTILLE, REGLAGE (1.45)","3LD-12168-A0","{""top"":441.664,""left"":-446.932}"
8,"PASTILLE, REGLAGE (1.45)","3LD-12168-A0","{""top"":345.059,""left"":-611.405}"
8,"PASTILLE, REGLAGE (1.50)","3LD-12168-F0","{""top"":239.583,""left"":-81.5443}"
8,"PASTILLE, REGLAGE (1.50)","3LD-12168-F0","{""top"":136.078,""left"":-235.184}"
8,"PASTILLE, REGLAGE (1.50)","3LD-12168-F0","{""top"":441.664,""left"":-446.932}"
8,"PASTILLE, REGLAGE (1.50)","3LD-12168-F0","{""top"":345.059,""left"":-611.405}"
8,"PASTILLE, REGLAGE (1.55)","3LD-12168-H1","{""top"":239.583,""left"":-81.5443}"
8,"PASTILLE, REGLAGE (1.55)","3LD-12168-H1","{""top"":136.078,""left"":-235.184}"
